comp.no,outcome.no,method,sm,model,common,random,outclab,k,event.e.pooled,n.e.pooled,event.c.pooled,n.c.pooled,TE.pooled,lower.pooled,upper.pooled,level.ma,weight.pooled,Z.pooled,pval.TE.pooled,cd,cd_num,meta_id,total_n,cer,first_check,mh_te,mh_lower,mh_upper,mh_tau2,mh_I2,mhe_te,mhe_lower,mhe_upper,mhe_tau2,mhe_I2,ivf_te,ivf_lower,ivf_upper,ivf_tau2,ivf_I2,ivr_te,ivr_lower,ivr_upper,ivr_tau2,ivr_I2,ivrTACC_te,ivrTACC_lower,ivrTACC_upper,ivrTACC_tau2,ivrTACC_I2,peto_te,peto_lower,peto_upper,peto_tau2,peto_I2,log_te,log_lower,log_upper,log_tau2,log_I2,bayesf_te,bayesf_lower,bayesf_upper,bayesr_te,bayesr_lower,bayesr_upper,ROR_mh,ROR_mhe,ROR_log,ROR_TACC,ROR_peto,ROR_bayesf,ROR_bayesr
1,8,MH,RR,Fixed,TRUE,FALSE,1.8 Umbilical cord prolapse,2,2,346,0,331,2.939393939393939,0.3127389072618704,27.626996610661976,0.95,100,0.9431622253976398,0.34559794307212444,CD000013,7,70108,677,0,1,3.018311291963377,0.30685830092040245,29.68863161878998,1,1,Inf,NA,NA,1,1,3.0184364080602837,0.30688475632270684,29.688533437363624,1,1,3.0184364080602837,0.30688475632270684,29.688533437363624,1,1,3.0607647140945375,0.30871597090126174,30.34595394496945,1,1,7.239819437761324,0.4527060811837032,115.78149194359344,1,1,7471377108.979217,0,Inf,1,1,110.6757270956116,0.6423344676401873,14480357.029092362,3.8182883716380953,0.17538849779406918,236.89424303533033,0.9999585493679535,Inf,2475247478.8032703,1.014023255855655,2.398533034662737,36.6665757145218,1.2649888403949563
1,10,MH,RR,Fixed,TRUE,FALSE,1.10 Intrapartum maternal temperature > 38AoC,4,25,422,16,424,1.5481002425222312,0.8510351175856418,2.8161168809302564,0.95,100,1.4315838826320455,0.1522629449559378,CD000013,7,70110,846,0.03773584905660377,0,1.5980064036730504,0.8424755923715239,3.03109608076806,1,1,1.6165905910464127,0.844766243058626,3.093595607700466,1,1,1.5388543648769655,0.7993257338909434,2.9625879111556026,1,1,1.5388543648769655,0.7993257338909434,2.9625879111556026,1,1,1.5386432510947239,0.79934434065784,2.9617061555612096,1,1,1.6048121623602207,0.8508812654287132,3.026770221767277,1.0453732203834634,1,1.6206769248189143,0.8452005882414223,3.107657201358023,1,1,1.6399824204114384,0.8622275521664056,3.206294542690116,2.028671502817475,0.6434467685371446,8.279591939389505,1.0384390103093442,1.0505156484874139,1.0531710874072808,0.9998628110709759,1.0428616241982904,1.065716456243446,1.3182998658743585
1,15,MH,RR,Fixed,TRUE,FALSE,1.15 Neonatal sepsis,2,4,103,0,105,5.080536912751677,0.6055338558052791,42.62660968395569,0.95,100,1.4977274049897595,0.13420408862741218,CD000013,7,70115,208,0,0,5.2855843565256935,0.6072444094125568,46.00684923056852,1,1,Inf,NA,NA,1,1,5.002462696138001,0.5577213118530782,44.86942222649827,1,1,5.002462696138001,0.5577213118530782,44.86942222649827,1,1,4.973666194991398,0.5582678450832824,44.31090853085026,1,1,7.701202053970789,1.0737970171247484,55.23251799943653,1,1,38922446612.316795,0,Inf,1,1,4893430.348361595,8.058331855151597,321746771335097400,276.30107708938067,1.7714980754690621,111510470.40903425,1.0565964561027648,Inf,7780657043.652856,0.9942435350554768,1.5394821554424118,978204.2656988564,55.23301099330346
1,14,MH,RR,Fixed,TRUE,FALSE,1.14 Neonatal encephalopathy,2,1,350,16,359,0.09284195605953226,0.01755163138589427,0.4911012894156071,0.95,100,2.7966672665297283,0.00516326768058236,CD000014,8,80114,709,0.04456824512534819,1,0.08817453368905555,0.016366923595912842,0.47502808611044706,1,1,0.061583577712609965,0.008141547887094135,0.46582506133716245,1,1,0.09484713453067538,0.017369646895373018,0.5179137482107602,1,1,0.09484713453067538,0.017369646895373018,0.5179137482107602,1,1,0.09484713453067538,0.017369646895373018,0.5179137482107602,1,1,0.16898116109127742,0.06463867301416538,0.4417577198328094,1,1,0.061321197614322906,0.008086756916068239,0.46499348451827616,1,1,0.04376672459708035,0.0016763025291205822,0.264515667256145,0.035812755912497565,9.896276606780952e-4,0.40400011035486605,0.9296488937210666,0.649292970392191,0.6465266232633571,1,1.781615880410448,0.46144487984426513,0.3775839522164482
9,2,MH,RR,Fixed,TRUE,FALSE,9.2 Serious adverse events,2,3,260,2,258,1.3259742772476857,0.2959839676134202,5.940212904433015,0.95,100,0.36876490574162907,0.7123029658144329,CD000031,20,200902,518,0.007751937984496124,1,1.3285100007183686,0.2946925641603548,5.989085021664615,54.35274087788017,1.875298734627142,1.4925784167289022,0.247788560905732,8.990690780647018,54.35274087788017,1.875298734627142,1.23238263503887,0.14675871830452233,10.34873414466545,54.35274087788017,1.875298734627142,1.1976092108711338,0.036402573682599214,39.400176330086644,54.35274087788017,1.875298734627142,1.1990638610890385,0.03585119971607585,40.10337601966098,56.89760954865707,1.8776519877980635,1.4836402354555658,0.2557059436888018,8.608279950432157,544.1951093950736,2.2030818059923276,1.2753992401346326,0.038836740558243286,41.88413338386442,33.22451994864382,1,1.6033622195200663,0.23447580747598507,14.72227305071429,1.303621252261933,0.09990504769637736,17.88569568099936,1.1093017560811997,1.2462983777848615,1.0649544346831759,1.0012146284486627,1.2388350239694421,1.3388025116755657,1.0885197278281509
12,4,MH,RR,Fixed,TRUE,FALSE,12.4 Serious adverse events,3,6,453,3,351,1.1696350096533972,0.3719024711160892,3.6785075713569744,0.95,100,0.2680276234214064,0.7886780562703003,CD000031,20,201204,804,0.008547008547008548,0,1.1718083165582864,0.35174730827075673,3.9037533435741247,6.358795471101013,1.627990838673677,1.2958860759493671,0.33845721333691803,4.9616928098021225,6.358795471101013,1.627990838673677,1.1807907354806078,0.24849358261440307,5.61087633059873,6.358795471101013,1.627990838673677,1.1199449323707753,0.12280698035606141,10.21339868390529,6.358795471101013,1.627990838673677,1.1467845787111273,0.14398586609846448,9.133638638325229,4.598370645084045,1.583493692893672,1.3171695253639462,0.3386521047852755,5.1230614959488605,57.18837792938768,2.0224170333849814,1.1689909546205497,0.1253614742628913,10.90079595840537,7.796859274898442,1,1.3995125683712684,0.3522910477017803,6.841825658549883,1.1075982534427022,0.17794352173482667,7.547086492525708,1.0463088699171335,1.1570980308881327,1.0437932444999332,1.023965148253795,1.1761020451029431,1.2496262342191105,0.9889756374878748
14,2,MH,RR,Fixed,TRUE,FALSE,14.2 Serious adverse events,2,3,71,1,72,2.3660714285714284,0.3595774029602132,15.56909293802727,0.95,100,0.8959292937820785,0.3702905374979446,CD000031,20,201402,143,0.013888888888888888,0,2.4251497005988023,0.35104188093727673,16.7539868878646,1,1,3.087026591458501,0.31748278588406614,30.016535069248842,1,1,2.164109963542234,0.27195253589061963,17.221284291264848,1,1,2.164109963542234,0.27195253589061963,17.221284291264848,1,1,2.1579189288810334,0.27254157073334767,17.085885617717597,1,1,2.796552593754932,0.3883976016375329,20.135825701972312,1.0890244793885822,1.0411612389179044,3.131603660064692,0.3179137845570416,30.847802014608657,1,1,3.9713902133079646,0.4012026783814741,170.13734609384215,3.7364284130106826,0.28607659968318466,104.38125780216093,1.1206222148847262,1.4264647561649915,1.4470630942148874,0.997139223622876,1.2922414483862505,1.8351147955566727,1.7265427709111714
15,4,MH,RR,Fixed,TRUE,FALSE,15.4 Dropouts due to drug,2,3,80,0,40,2.0487804878048785,0.236390034534098,17.756676991409005,0.95,100,0.6509668227579425,0.5150679078494371,CD000031,20,201504,120,0,0,2.1025641025641026,0.22767482569844616,19.417060238563565,1,1,Inf,NA,NA,1,1,2.0640114072158946,0.2208060586571849,19.293596901394245,1,1,2.0640114072158946,0.2208060586571849,19.293596901394245,1,1,3.3093737268399614,0.24227646302208575,45.2043682959836,1,1,4.559180338967484,0.4077949098952303,50.97200788643482,1,1,5761583667.764179,0,Inf,1,1,60668.7573258445,2.4997998549586904,33535565407927857e3,36.32807585260882,0.5490346466048017,136089.2886951208,1.018678528235564,Inf,2791449527.663158,1.6033698821964906,2.208892994984594,29393.615322930516,17.60071466931041
1,4,MH,RR,Fixed,TRUE,FALSE,1.4 Apgar score < 7 at 5 minutes,2,1,65,2,60,0.5171699230313795,0.06997314343197462,3.822391222831124,0.95,100,0.6461002481424344,0.5182144386108334,CD000051,31,310104,125,0.03333333333333333,1,0.49927085731828996,0.06138293670201707,4.060923154873253,1,1,0.3883495145631068,0.031110869382215793,4.847673769850118,1,1,0.5158787849100548,0.0599192177361234,4.441495246020755,1,1,0.5158787849100548,0.0599192177361234,4.441495246020755,1,1,0.520465256010317,0.06082861982283859,4.45323407801831,1,1,0.417957804359419,0.041637799754788034,4.195436052186173,1,1,0.39777657898418695,0.033557618584388986,4.715060646823433,1,1,0.33069066163764094,0.007892490905454021,5.169338738030959,0.2532627317566282,0.0063510267380337245,4.708388986699419,0.967806531151188,0.7527921789433866,0.7710659763873419,1.0088905984010603,0.8101860680940608,0.6410239601058569,0.49093457448688343
2,10,MH,RR,Fixed,TRUE,FALSE,2.10 Adverse effects 1. Blood problems,4,21,400,11,427,1.8952164149023971,0.9688592139996984,3.707293286180807,0.95,100,1.867552327773512,0.06182449657105518,CD000059,37,370210,827,0.02576112412177986,1,1.978070850942104,0.9720073263384151,4.02544732464758,1.1134294204879167,1,2.10568933697881,0.9990964628238233,4.43793742531558,1.1134294204879167,1,1.8241748912826121,0.8741743080170197,3.806579538506802,1.1134294204879167,1,1.9972687794424002,0.8107121316811194,4.92046735388484,1.1134294204879167,1,2.059126786094562,0.8031171129054613,5.279433164950165,1.1497157968036287,1,2.080601527132238,1.0150090903814954,4.264890586426141,2.1973554629070127,1.2827761051852853,3.463549994099026,0.3432560089280072,34.94819682570913,1.6296689267145066,1,2.1825036634517576,1.04368444998672,4.773714663298337,3.933993809754231,0.9796761444576481,27.986936193560734,0.9903879093801007,1.0542844101166389,1.7341431607747777,1.0309712980490444,1.041723351682843,1.0927440942931435,1.9696867293206914
